10,0.01,0.94616,0.97439,1,1,1,0.85339,1,1,1,1,1,1,1,0.98764,0.98623,1,1,1,0.96701,0.97281,0.97448,0.95817,1,1,1,1,1,1,1,1,0.11915,0.10418,0.97366,1
11,0.01,0.94616,0.97439,1,1,1,0.85339,1,1,1,1,1,1,1,0.98764,0.98623,1,1,0.99221,0.96701,0.97281,0.97448,0.95817,1,1,0.98618,1,1,1,1,1,0.11915,0.10418,0.97366,1
12,0.072069,0.94616,0.97439,1,1,1,0.86451,1,1,1,1,1,1,1,0.98764,0.98623,1,1,1,0.96701,1,1,0.9552,1,1,1,0.9785,1,1,1,1,0.11915,0.10418,0.96827,0.97935
13,0.056552,0.94616,0.97439,1,1,1,0.86451,1,1,1,1,1,1,1,0.98764,0.98623,1,1,1,0.96701,0.97281,0.97448,0.9552,1,1,1,0.9785,1,1,1,1,0.11915,0.10418,0.96827,0.97935
14,0.01,0.94616,0.97439,1,1,1,0.86451,1,1,1,1,1,1,1,0.98764,0.98623,1,1,0.99221,0.96701,0.97281,0.97448,0.9552,1,1,0.98618,0.9785,1,1,1,1,0.11915,0.10418,0.96827,0.97935
15,0.01,0.94615,0.97439,1,1,1,0.86148,1,1,1,1,1,1,1,0.98764,0.98623,1,1,0.99221,0.96701,0.97281,0.97448,0.955,1,1,0.98618,0.9785,1,1,1,1,0.11915,0.1037,0.96827,0.97935
16,0.01,0.94615,0.97439,1,1,1,0.86148,1,1,1,1,1,1,1,0.98764,0.98623,0.97858,1,0.99221,0.96701,0.97281,0.97448,0.9512,1,1,0.98618,0.9785,1,1,1,1,0.11915,0.1037,0.96827,0.97935
17,0.01,0.94615,0.97439,1,1,1,0.85908,1,1,1,1,1,1,1,0.98764,0.98623,0.97064,1,0.99221,0.96701,0.97281,0.97448,0.9515,1,1,0.98618,0.9785,1,1,1,1,0.11915,0.1037,0.96827,0.97935
18,0.096897,0.94615,0.97439,1,1,1,0.8501,1,1,1,1,1,1,1,0.98764,0.98623,0.97064,1,0.9776,0.96701,1,1,0.95128,1,1,0.98618,0.96002,1,1,1,1,0.11915,0.1037,0.96827,0.97935
19,0.1,0.94615,0.97439,1,1,1,0.85092,1,1,1,1,1,1,1,0.98764,0.98623,0.97064,1,0.97002,0.96701,1,1,0.94909,1,1,0.98618,0.96002,1,1,1,1,0.11915,0.1037,0.96827,0.97935
20,0.01931,0.94615,0.97439,1,1,1,0.8501,1,1,1,1,1,1,1,0.98764,0.98623,0.97064,1,0.97754,0.96701,0.97281,0.97448,0.95128,1,1,0.97797,0.95891,1,1,1,1,0.11915,0.1037,0.96827,0.97935
